v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.573705,0.7,18.8831,-10.1102,-3.12711,1.17814,0,0.835176,0,0,0,0
0.575838,0.7,18.8831,-10.1102,-3.12711,1.17703,1,0.822303,1,0,0,0
0.577938,0.7,18.8831,-10.1102,-3.12711,1.17703,2,0.80943,2,0,0,0
0.580005,0.7,18.8831,-10.1102,-3.12711,1.17631,3,0.796557,3,0,0,0
0.582038,0.7,18.8831,-10.1102,-3.12711,1.17708,4,0.783684,4,0,0,0
0.584038,0.7,18.8831,-10.1102,-3.12711,1.17708,5,0.770811,5,0,0,0
0.586006,0.7,18.8831,-10.1102,-3.12711,1.17675,6,0.757938,6,0,0,0
0.58794,0.7,18.8831,-10.1102,-3.12711,1.17675,7,0.745065,7,0,0,0
0.589841,0.7,18.8831,-10.1102,-3.12711,1.17673,8,0.732192,8,0,0,0
0.591709,0.7,18.8831,-10.1102,-3.12711,1.17727,9,0.719319,9,0,0,0
0.593544,0.7,18.8831,-10.1102,-3.12711,1.17727,10,0.706446,10,0,0,0
0.595345,0.7,18.8831,-10.1102,-3.12711,1.17743,11,0.693573,11,0,0,0
0.597114,0.7,18.8831,-10.1102,-3.12711,1.17743,12,0.680701,12,0,0,0
0.598849,0.7,18.8831,-10.1102,-3.12711,1.18039,13,0.667828,13,0,0,0
0.600551,0.7,18.8831,-10.1102,-3.12711,1.18593,14,0.654955,14,0,0,0
0.602221,0.7,18.8831,-10.1102,-3.12711,1.18593,15,0.642082,15,0,0,0
0.603857,0.7,18.8831,-10.1102,-3.12711,1.19275,16,0.629209,16,0,0,0
0.605459,0.7,18.8831,-10.1102,-3.12711,1.19275,17,0.616336,17,0,0,0
0.60515,0.7,18.8679,-10.1105,-3.12546,1.19892,18,0.618626,18,0,0,0
0.606725,0.7,18.8679,-10.1105,-3.12546,1.2058,19,0.605753,19,0,0,0
0.608268,0.7,18.8679,-10.1105,-3.12546,1.2058,20,0.59288,20,0,0,0
0.609777,0.7,18.8679,-10.1105,-3.12546,1.21304,21,0.580007,21,0,0,0
0.611253,0.7,18.8679,-10.1105,-3.12546,1.21304,22,0.567134,22,0,0,0
0.612696,0.7,18.8679,-10.1105,-3.12546,1.22229,23,0.554261,23,0,0,0
0.614106,0.7,18.8679,-10.1105,-3.12546,1.23192,24,0.541388,24,0,0,0
0.612372,0.7,18.8392,-10.1097,-3.12535,1.23192,25,0.557168,25,0,0,0
0.613789,0.7,18.8392,-10.1097,-3.12535,1.24191,26,0.544296,26,0,0,0
0.615174,0.7,18.8392,-10.1097,-3.12535,1.24191,27,0.531423,27,0,0,0
0.614153,0.7,18.8165,-10.108,-3.12735,1.25298,28,0.54126,28,0,0,0
0.61553,0.7,18.8165,-10.108,-3.12735,1.26758,29,0.528387,29,0,0,0
0.616873,0.7,18.8165,-10.108,-3.12735,1.26758,30,0.515514,30,0,0,0
0.618183,0.7,18.8165,-10.108,-3.12735,1.28381,31,0.502641,31,0,0,0
0.619461,0.7,18.8165,-10.108,-3.12735,1.28381,32,0.489769,32,0,0,0
0.620705,0.7,18.8165,-10.108,-3.12735,1.30198,33,0.476896,33,0,0,0
0.621915,0.7,18.8165,-10.108,-3.12735,1.31996,34,0.464023,34,0,0,0
0.61999,0.7,18.7829,-10.1071,-3.13057,1.31996,35,0.484827,35,0,0,0
0.621221,0.7,18.7829,-10.1071,-3.13057,1.33867,36,0.471954,36,0,0,0
0.62242,0.7,18.7829,-10.1071,-3.13057,1.33867,37,0.459081,37,0,0,0
0.61731,0.7,18.7173,-10.1089,-3.1311,1.35521,38,0.511764,38,0,0,0
0.618611,0.7,18.7173,-10.1089,-3.1311,1.37104,39,0.498891,39,0,0,0
0.619878,0.7,18.7173,-10.1089,-3.1311,1.37104,40,0.486018,40,0,0,0
0.617517,0.7,18.6806,-10.1069,-3.13211,1.39526,41,0.509885,41,0,0,0
0.618813,0.7,18.6806,-10.1069,-3.13211,1.39526,42,0.497012,42,0,0,0
0.620076,0.7,18.6806,-10.1069,-3.13211,1.42004,43,0.484139,43,0,0,0
0.621305,0.7,18.6806,-10.1069,-3.13211,1.44312,44,0.471266,44,0,0,0
0.622502,0.7,18.6806,-10.1069,-3.13211,1.44312,45,0.458393,45,0,0,0
0.623665,0.7,18.6806,-10.1069,-3.13211,1.46773,46,0.44552,46,0,0,0
