v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.672504,0.7,18.8588,-9.95028,-3.09189,1.22716,0,0.695488,0,0,0,0
0.673463,0.7,18.8588,-9.95028,-3.09189,1.22716,1,0.681543,1,0,0,0
0.674403,0.7,18.8588,-9.95028,-3.09189,1.22716,2,0.667598,2,0,0,0
0.675324,0.7,18.8588,-9.95028,-3.09189,1.22716,3,0.653652,3,0,0,0
0.676225,0.7,18.8588,-9.95028,-3.09189,1.23169,4,0.639707,4,0,0,0
0.677106,0.7,18.8588,-9.95028,-3.09189,1.23169,5,0.625762,5,0,0,0
0.677969,0.7,18.8588,-9.95028,-3.09189,1.23169,6,0.611817,6,0,0,0
0.678811,0.7,18.8588,-9.95028,-3.09189,1.24053,7,0.597872,7,0,0,0
0.679635,0.7,18.8588,-9.95028,-3.09189,1.24053,8,0.583926,8,0,0,0
0.680438,0.7,18.8588,-9.95028,-3.09189,1.24651,9,0.569981,9,0,0,0
0.681223,0.7,18.8588,-9.95028,-3.09189,1.24852,10,0.556036,10,0,0,0
0.681988,0.7,18.8588,-9.95028,-3.09189,1.24852,11,0.542091,11,0,0,0
0.682734,0.7,18.8588,-9.95028,-3.09189,1.24852,12,0.528145,12,0,0,0
0.68346,0.7,18.8588,-9.95028,-3.09189,1.24852,13,0.5142,13,0,0,0
0.684166,0.7,18.8588,-9.95028,-3.09189,1.24852,14,0.500255,14,0,0,0
0.684854,0.7,18.8588,-9.95028,-3.09189,1.26258,15,0.48631,15,0,0,0
0.685522,0.7,18.8588,-9.95028,-3.09189,1.26258,16,0.472365,16,0,0,0
0.68617,0.7,18.8588,-9.95028,-3.09189,1.26683,17,0.458419,17,0,0,0
0.686799,0.7,18.8588,-9.95028,-3.09189,1.26683,18,0.444474,18,0,0,0
0.687409,0.7,18.8588,-9.95028,-3.09189,1.26683,19,0.430529,19,0,0,0
0.687999,0.7,18.8588,-9.95028,-3.09189,1.28183,20,0.416584,20,0,0,0
0.688569,0.7,18.8588,-9.95028,-3.09189,1.28183,21,0.402638,21,0,0,0
0.689121,0.7,18.8588,-9.95028,-3.09189,1.28962,22,0.388693,22,0,0,0
0.68775,0.7,18.8095,-9.95057,-3.09416,1.29839,23,0.424029,23,0,0,0
0.688331,0.7,18.8095,-9.95057,-3.09416,1.29839,24,0.410083,24,0,0,0
0.688892,0.7,18.8095,-9.95057,-3.09416,1.30749,25,0.396138,25,0,0,0
0.688482,0.7,18.7845,-9.94661,-3.09472,1.30749,26,0.407202,26,0,0,0
0.68904,0.7,18.7845,-9.94661,-3.09472,1.32027,27,0.393257,27,0,0,0
0.689578,0.7,18.7845,-9.94661,-3.09472,1.33538,28,0.379311,28,0,0,0
0.690097,0.7,18.7845,-9.94661,-3.09472,1.33538,29,0.365366,29,0,0,0
0.689336,0.7,18.7498,-9.94672,-3.0954,1.33538,30,0.386131,30,0,0,0
0.689864,0.7,18.7498,-9.94672,-3.0954,1.33538,31,0.372186,31,0,0,0
0.690373,0.7,18.7498,-9.94672,-3.0954,1.36384,32,0.358241,32,0,0,0
0.689902,0.7,18.7231,-9.94981,-3.09562,1.36384,33,0.370962,33,0,0,0
0.69041,0.7,18.7231,-9.94981,-3.09562,1.38207,34,0.357017,34,0,0,0
0.690898,0.7,18.7231,-9.94981,-3.09562,1.3994,35,0.343072,35,0,0,0
0.690194,0.7,18.6891,-9.95178,-3.0961,1.3994,36,0.363151,36,0,0,0
0.69069,0.7,18.6891,-9.95178,-3.0961,1.3994,37,0.349206,37,0,0,0
0.691167,0.7,18.6891,-9.95178,-3.0961,1.3994,38,0.335261,38,0,0,0
0.691625,0.7,18.6891,-9.95178,-3.0961,1.3994,39,0.321316,39,0,0,0
0.690697,0.7,18.6497,-9.95547,-3.09388,1.3994,40,0.346852,40,0,0,0
0.691171,0.7,18.6497,-9.95547,-3.09388,1.46336,41,0.332907,41,0,0,0
0.691625,0.7,18.6497,-9.95547,-3.09388,1.48674,42,0.318961,42,0,0,0
0.690649,0.7,18.6051,-9.95683,-3.09584,1.50937,43,0.349603,43,0,0,0
0.691127,0.7,18.6051,-9.95683,-3.09584,1.50937,44,0.335658,44,0,0,0
0.691585,0.7,18.6051,-9.95683,-3.09584,1.53295,45,0.321713,45,0,0,0
0.690309,0.7,18.556,-9.95989,-3.09323,1.53295,46,0.356861,46,0,0,0
0.690796,0.7,18.556,-9.95989,-3.09323,1.55562,47,0.342916,47,0,0,0
0.691264,0.7,18.556,-9.95989,-3.09323,1.57824,48,0.328971,48,0,0,0
0.691713,0.7,18.556,-9.95989,-3.09323,1.57824,49,0.315025,49,0,0,0
0.692142,0.7,18.556,-9.95989,-3.09323,1.59795,50,0.30108,50,0,0,0
0.692552,0.7,18.556,-9.95989,-3.09323,1.59795,51,0.287135,51,0,0,0
0.692942,0.7,18.556,-9.95989,-3.09323,1.61966,52,0.27319,52,0,0,0
0.690069,0.7,18.4552,-9.96328,-3.08983,1.64297,53,0.360054,53,0,0,0
0.690561,0.7,18.4552,-9.96328,-3.08983,1.64297,54,0.346109,54,0,0,0
0.691033,0.7,18.4552,-9.96328,-3.08983,1.66795,55,0.332164,55,0,0,0
0.689872,0.7,18.4072,-9.96397,-3.09066,1.66795,56,0.366271,56,0,0,0
0.690373,0.7,18.4072,-9.96397,-3.09066,1.6919,57,0.352326,57,0,0,0
0.690854,0.7,18.4072,-9.96397,-3.09066,1.6919,58,0.338381,58,0,0,0
0.691316,0.7,18.4072,-9.96397,-3.09066,1.71407,59,0.324436,59,0,0,0
0.691758,0.7,18.4072,-9.96397,-3.09066,1.71407,60,0.310491,60,0,0,0
0.692181,0.7,18.4072,-9.96397,-3.09066,1.71407,61,0.296545,61,0,0,0
0.692584,0.7,18.4072,-9.96397,-3.09066,1.75654,62,0.2826,62,0,0,0
0.690539,0.7,18.3224,-9.95718,-3.09639,1.75654,63,0.353397,63,0,0,0
0.691022,0.7,18.3224,-9.95718,-3.09639,1.77874,64,0.339451,64,0,0,0
0.691486,0.7,18.3224,-9.95718,-3.09639,1.77874,65,0.325506,65,0,0,0
0.690591,0.7,18.2839,-9.95604,-3.09355,1.77874,66,0.349989,66,0,0,0
0.691069,0.7,18.2839,-9.95604,-3.09355,1.81731,67,0.336044,67,0,0,0
0.691527,0.7,18.2839,-9.95604,-3.09355,1.81731,68,0.322099,68,0,0,0
0.691967,0.7,18.2839,-9.95604,-3.09355,1.84013,69,0.308154,69,0,0,0
0.692386,0.7,18.2839,-9.95604,-3.09355,1.84013,70,0.294209,70,0,0,0
0.692786,0.7,18.2839,-9.95604,-3.09355,1.84013,71,0.280263,71,0,0,0
0.693167,0.7,18.2839,-9.95604,-3.09355,1.84013,72,0.266318,72,0,0,0
0.690817,0.7,18.1916,-9.95937,-3.09567,1.84013,73,0.344753,73,0,0,0
0.691287,0.7,18.1916,-9.95937,-3.09567,1.91124,74,0.330808,74,0,0,0
0.691739,0.7,18.1916,-9.95937,-3.09567,1.91124,75,0.316863,75,0,0,0
0.690657,0.7,18.1464,-9.96568,-3.09524,1.91124,76,0.348114,76,0,0,0
0.691133,0.7,18.1464,-9.96568,-3.09524,0.562126,77,0.334169,77,0,0,0
0.691589,0.7,18.1464,-9.96568,-3.09524,0.562126,78,0.320223,78,0,0,0
0.692025,0.7,18.1464,-9.96568,-3.09524,1.98432,79,0.306278,79,0,0,0
0.692442,0.7,18.1464,-9.96568,-3.09524,1.98432,80,0.292333,80,0,0,0
0.69284,0.7,18.1464,-9.96568,-3.09524,1.98432,81,0.278388,81,0,0,0
0.693218,0.7,18.1464,-9.96568,-3.09524,2.02955,82,0.264443,82,0,0,0
0.690763,0.7,18.0483,-9.97279,-3.10131,2.02955,83,0.348642,83,0,0,0
0.691239,0.7,18.0483,-9.97279,-3.10131,2.04842,84,0.334697,84,0,0,0
0.691696,0.7,18.0483,-9.97279,-3.10131,2.04842,85,0.320752,85,0,0,0
0.690701,0.7,18.0013,-9.96816,-3.10572,2.04842,86,0.353797,86,0,0,0
0.691185,0.7,18.0013,-9.96816,-3.10572,2.08801,87,0.339852,87,0,0,0
0.691649,0.7,18.0013,-9.96816,-3.10572,2.08801,88,0.325906,88,0,0,0
0.692093,0.7,18.0013,-9.96816,-3.10572,2.08801,89,0.311961,89,0,0,0
0.690967,0.7,17.9511,-9.9684,-3.10929,2.08801,90,0.348186,90,0,0,0
0.691443,0.7,17.9511,-9.9684,-3.10929,2.08801,91,0.334241,91,0,0,0
0.691899,0.7,17.9511,-9.9684,-3.10929,2.14556,92,0.320296,92,0,0,0
0.691305,0.7,17.9184,-9.96713,-3.11037,2.16793,93,0.339063,93,0,0,0
0.691767,0.7,17.9184,-9.96713,-3.11037,2.16793,94,0.325118,94,0,0,0
0.692211,0.7,17.9184,-9.96713,-3.11037,2.18783,95,0.311173,95,0,0,0
0.691264,0.7,17.8738,-9.96199,-3.11251,2.18783,96,0.341775,96,0,0,0
0.69173,0.7,17.8738,-9.96199,-3.11251,2.18783,97,0.32783,97,0,0,0
0.692178,0.7,17.8738,-9.96199,-3.11251,2.18783,98,0.313885,98,0,0,0
0.692606,0.7,17.8738,-9.96199,-3.11251,2.18783,99,0.299939,99,0,0,0
0.693014,0.7,17.8738,-9.96199,-3.11251,2.18783,100,0.285994,100,0,0,0
0.693403,0.7,17.8738,-9.96199,-3.11251,2.18783,101,0.272049,101,0,0,0
0.693773,0.7,17.8738,-9.96199,-3.11251,2.26786,102,0.258104,102,0,0,0
0.691646,0.7,17.7867,-9.95853,-3.1138,2.26786,103,0.331299,103,0,0,0
0.692098,0.7,17.7867,-9.95853,-3.1138,2.29075,104,0.317354,104,0,0,0
0.692531,0.7,17.7867,-9.95853,-3.1138,0.562126,105,0.303409,105,0,0,0
0.691661,0.7,17.7446,-9.95785,-3.11531,0.562126,106,0.331504,106,0,0,0
0.692114,0.7,17.7446,-9.95785,-3.11531,0.562126,107,0.317558,107,0,0,0
0.692547,0.7,17.7446,-9.95785,-3.11531,0.562126,108,0.303613,108,0,0,0
0.692961,0.7,17.7446,-9.95785,-3.11531,0.562126,109,0.289668,109,0,0,0
0.691867,0.7,17.6963,-9.95881,-3.11237,0.562126,110,0.324008,110,0,0,0
0.692309,0.7,17.6963,-9.95881,-3.11237,2.36846,111,0.310063,111,0,0,0
0.692732,0.7,17.6963,-9.95881,-3.11237,2.36846,112,0.296118,112,0,0,0
0.691773,0.7,17.6516,-9.95919,-3.11246,2.36846,113,0.326933,113,0,0,0
0.692219,0.7,17.6516,-9.95919,-3.11246,2.4088,114,0.312988,114,0,0,0
0.692646,0.7,17.6516,-9.95919,-3.11246,2.43109,115,0.299043,115,0,0,0
0.69125,0.7,17.5966,-9.96548,-3.10853,2.43109,116,0.34016,116,0,0,0
0.691714,0.7,17.5966,-9.96548,-3.10853,2.43109,117,0.326215,117,0,0,0
0.692159,0.7,17.5966,-9.96548,-3.10853,2.47248,118,0.31227,118,0,0,0
0.692585,0.7,17.5966,-9.96548,-3.10853,2.47248,119,0.298324,119,0,0,0
0.691854,0.7,17.5581,-9.96786,-3.11079,2.47248,120,0.32286,120,0,0,0
0.692294,0.7,17.5581,-9.96786,-3.11079,2.47248,121,0.308914,121,0,0,0
0.692715,0.7,17.5581,-9.96786,-3.11079,2.5171,122,0.294969,122,0,0,0
0.691527,0.7,17.504,-9.96372,-3.11497,2.5171,123,0.335107,123,0,0,0
0.691984,0.7,17.504,-9.96372,-3.11497,2.54657,124,0.321162,124,0,0,0
0.692422,0.7,17.504,-9.96372,-3.11497,2.57556,125,0.307217,125,0,0,0
0.692841,0.7,17.504,-9.96372,-3.11497,2.57556,126,0.293272,126,0,0,0
0.691591,0.7,17.4507,-9.96748,-3.11434,2.59973,127,0.332634,127,0,0,0
0.692045,0.7,17.4507,-9.96748,-3.11434,2.59973,128,0.318689,128,0,0,0
0.69248,0.7,17.4507,-9.96748,-3.11434,2.61912,129,0.304744,129,0,0,0
0.692895,0.7,17.4507,-9.96748,-3.11434,2.63925,130,0.290799,130,0,0,0
0.693291,0.7,17.4507,-9.96748,-3.11434,2.63925,131,0.276853,131,0,0,0
0.693667,0.7,17.4507,-9.96748,-3.11434,2.6573,132,0.262908,132,0,0,0
0.691344,0.7,17.3582,-9.96901,-3.11866,2.6573,133,0.34147,133,0,0,0
0.691811,0.7,17.3582,-9.96901,-3.11866,2.6573,134,0.327525,134,0,0,0
0.692258,0.7,17.3582,-9.96901,-3.11866,2.68836,135,0.313579,135,0,0,0
