v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.615901,0.7,18.8489,-9.8827,-3.13728,1.23808,0,0.876234,0,0,20.284,-9.81103
0,0.5,18.8489,-9.8827,-3.13728,1.24188,1,0.863147,1,0,20.284,-9.81103
0.440876,0.5,18.8489,-9.8827,-3.13728,1.24381,2,0.231854,2,0,20.284,-9.81103
0.441078,0.5,18.8489,-9.8827,-3.13728,1.24381,3,0.222982,3,0,20.284,-9.81103
0.441272,0.5,18.8489,-9.8827,-3.13728,1.24381,4,0.214111,4,0,20.284,-9.81103
0.441458,0.5,18.8489,-9.8827,-3.13728,1.24381,5,0.205239,5,0,20.2937,-9.81168
0.441636,0.5,18.8489,-9.8827,-3.13728,1.24381,6,0.196368,6,0,20.2937,-9.81168
0.441806,0.5,18.8489,-9.8827,-3.13728,1.24676,7,0.187496,7,0,20.2937,-9.81168
0.441969,0.5,18.8489,-9.8827,-3.13728,1.24676,8,0.178625,8,0,20.2937,-9.81168
0.442123,0.5,18.8489,-9.8827,-3.13728,1.19528,9,0.169753,9,0,20.2937,-9.81168
0.44227,0.5,18.8489,-9.8827,-3.13728,1.19528,10,0.160882,10,0,20.2982,-9.81529
0.442409,0.5,18.8489,-9.8827,-3.13728,1.19528,11,0.15201,11,0,20.2982,-9.81529
0.442539,0.5,18.8489,-9.8827,-3.13728,1.19528,12,0.143139,12,0,20.2982,-9.81529
0.442663,0.5,18.8489,-9.8827,-3.13728,1.2319,13,0.134267,13,0,20.308,-9.81471
0.442778,0.5,18.8489,-9.8827,-3.13728,1.26438,14,0.125396,14,0,20.308,-9.81471
0.442885,0.5,18.8489,-9.8827,-3.13728,1.26438,15,0.116524,15,0,20.308,-9.81471
0.442984,0.5,18.8489,-9.8827,-3.13728,1.28456,16,0.107653,16,0,20.308,-9.81471
0.443076,0.5,18.8489,-9.8827,-3.13728,1.28456,17,0.098781,17,0,20.308,-9.81471
0.44316,0.5,18.8489,-9.8827,-3.13728,1.30271,18,0.0899095,18,0,20.3075,-9.81928
0.443236,0.5,18.8489,-9.8827,-3.13728,1.31852,19,0.0810379,19,0,20.3075,-9.81928
0.443139,0.5,18.828,-9.88066,-3.13431,1.31852,20,0.092965,20,0,20.3075,-9.81928
0.443218,0.5,18.828,-9.88066,-3.13431,1.32865,21,0.0840935,21,0,20.3075,-9.81928
0.443289,0.5,18.828,-9.88066,-3.13431,1.32865,22,0.075222,22,0,20.3128,-9.8105
0.443267,0.5,18.8165,-9.88196,-3.13491,1.32865,23,0.0779463,23,0,20.3128,-9.8105
0.443332,0.5,18.8165,-9.88196,-3.13491,1.35146,24,0.0690747,24,0,20.3128,-9.8105
0.443389,0.5,18.8165,-9.88196,-3.13491,1.35146,25,0.0602032,25,0,20.3128,-9.8105
0.443439,0.5,18.8165,-9.88196,-3.13491,1.36225,26,0.0513317,26,0,20.3128,-9.8105
0.443398,0.5,18.7999,-9.88575,-3.13439,1.3741,27,0.0591088,27,0,20.3128,-9.8105
0.443446,0.5,18.7999,-9.88575,-3.13439,1.3741,28,0.0502372,28,0,20.3128,-9.8105
0.443487,0.5,18.7999,-9.88575,-3.13439,1.38704,29,0.0413657,29,0,20.3128,-9.8105
