v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.528318,0.7,18.7565,-10.0971,2.58862,1.36537,0,0.609176,0,0,19.734,-10.0588
0,0.5,18.7565,-10.0971,2.58862,0.457824,1,0.577361,1,0,19.734,-10.0588
0.382199,0.5,18.7565,-10.0971,2.58862,0.454201,2,0.23191,2,0,19.7178,-9.90362
0.382631,0.5,18.7565,-10.0971,2.58862,0.455963,3,0.209314,3,0,19.7178,-9.90362
0.383019,0.5,18.7565,-10.0971,2.58862,0.460526,4,0.186719,4,0,19.7272,-9.93932
0.383362,0.5,18.7565,-10.0971,2.58862,0.462424,5,0.164123,5,0,19.73,-9.97426
0.383662,0.5,18.7565,-10.0971,2.58862,0.461672,6,0.141528,6,0,19.7322,-10.0085
0.430444,0.5,18.756,-10.1049,2.82094,0.463439,7,0.119183,7,0,19.7322,-10.0085
0.434213,0.5,18.7489,-10.11,2.84698,0.465012,8,0.1035,8,0,19.7351,-10.0417
0.434415,0.5,18.7489,-10.11,2.84698,0.46972,9,0.0809049,9,0,19.7351,-10.0417
0.434567,0.5,18.7489,-10.11,2.84698,0.478732,10,0.0583094,10,0,19.7351,-10.0417
0.437975,0.5,18.7449,-10.1057,2.87376,0.506612,11,0.039881,11,0,19.7123,-9.88496
0.438038,0.5,18.7449,-10.1057,2.87376,0.51868,12,0.0172855,12,0,19.7123,-9.88496
0.444057,0.5,18.7429,-10.1137,2.93153,0.543622,13,-0.00360375,13,0,19.7123,-9.88496
0.443162,0.5,18.7164,-10.1185,2.9589,0.557462,14,0.231649,14,0,19.7199,-9.96531
0.444015,0.5,18.6894,-10.1329,2.97172,0.582365,15,0.235627,15,0,19.7199,-9.96531
0.444517,0.5,18.6894,-10.1329,2.97172,0.597597,16,0.213057,16,0,19.7199,-9.96531
0.444968,0.5,18.6894,-10.1329,2.97172,0.623911,17,0.190487,17,0,19.7199,-9.96531
0.445612,0.5,18.6627,-10.1401,2.98243,0.637242,18,0.194294,18,0,19.7223,-9.99734
0.445895,0.5,18.6124,-10.1446,2.99673,0.664376,19,0.221941,19,0,19.7223,-9.99734
0.446367,0.5,18.6124,-10.1446,2.99673,0.677518,20,0.199371,20,0,19.7223,-9.99734
0.446789,0.5,18.6124,-10.1446,2.99673,0.707594,21,0.176801,21,0,19.7383,-10.0272
0.44686,0.5,18.5817,-10.1362,3.00102,0.720885,22,0.185155,22,0,19.7383,-10.0272
0.446335,0.5,18.5208,-10.1335,3.00594,0.744015,23,0.223555,23,0,19.7383,-10.0272
0.446812,0.5,18.5208,-10.1335,3.00594,0.757124,24,0.200985,24,0,19.7449,-10.0568
