v_real,v_max,x_pos,y_pos,theta_rot,distance_hr,global_counter,h_barrier,temporal_operator_counter,flag_finish,obs_x_closest,obs_y_closest
0.618393,0.7,18.9776,-9.91406,-3.11726,0.920238,0,0.725481,0,0,0,0
0.61932,0.7,18.9776,-9.91406,-3.11726,0.918543,1,0.712585,1,0,0,0
0.620231,0.7,18.9776,-9.91406,-3.11726,0.918543,2,0.69969,2,0,0,0
0.621125,0.7,18.9776,-9.91406,-3.11726,0.91826,3,0.686794,3,0,0,0
0.622002,0.7,18.9776,-9.91406,-3.11726,0.91826,4,0.673898,4,0,0,0
0.622862,0.7,18.9776,-9.91406,-3.11726,0.918252,5,0.661002,5,0,0,0
0.623706,0.7,18.9776,-9.91406,-3.11726,0.919655,6,0.648107,6,0,0,0
0.624534,0.7,18.9776,-9.91406,-3.11726,0.919655,7,0.635211,7,0,0,0
0.625344,0.7,18.9776,-9.91406,-3.11726,0.922196,8,0.622315,8,0,0,0
0.626139,0.7,18.9776,-9.91406,-3.11726,0.922196,9,0.60942,9,0,0,0
0.626916,0.7,18.9776,-9.91406,-3.11726,0.92261,10,0.596524,10,0,0,0
0.627677,0.7,18.9776,-9.91406,-3.11726,0.92261,11,0.583628,11,0,0,0
0.628421,0.7,18.9776,-9.91406,-3.11726,0.926023,12,0.570732,12,0,0,0
0.629149,0.7,18.9776,-9.91406,-3.11726,0.931171,13,0.557837,13,0,0,0
0.629389,0.7,18.9685,-9.91346,-3.12054,0.931171,14,0.554038,14,0,0,0
0.630096,0.7,18.9685,-9.91346,-3.12054,0.940218,15,0.541142,15,0,0,0
0.630785,0.7,18.9685,-9.91346,-3.12054,0.940218,16,0.528246,16,0,0,0
0.631458,0.7,18.9685,-9.91346,-3.12054,0.946682,17,0.51535,17,0,0,0
0.632114,0.7,18.9685,-9.91346,-3.12054,0.95519,18,0.502455,18,0,0,0
0.632754,0.7,18.9685,-9.91346,-3.12054,0.95519,19,0.489559,19,0,0,0
0.632375,0.7,18.9479,-9.91327,-3.12061,0.964522,20,0.49725,20,0,0,0
0.633008,0.7,18.9479,-9.91327,-3.12061,0.974072,21,0.484354,21,0,0,0
0.633624,0.7,18.9479,-9.91327,-3.12061,0.974072,22,0.471458,22,0,0,0
0.634224,0.7,18.9479,-9.91327,-3.12061,0.985841,23,0.458563,23,0,0,0
